infinitive,infinitive_english,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,future 1p-s,future 2p-s,future 3p-s,future 1p-p,future 2p-p,future 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,preterite 1p-s,preterite 2p-s,preterite 3p-s,preterite 1p-p,preterite 2p-p,preterite 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,present perfect 1p-s,present perfect 2p-s,present perfect 3p-s,present perfect 1p-p,present perfect 2p-p,present perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,preterite perfect 1p-s,preterite perfect 2p-s,preterite perfect 3p-s,preterite perfect 1p-p,preterite perfect 2p-p,preterite perfect 3p-p,conditional perfect 1p-s,conditional perfect 2p-s,conditional perfect 3p-s,conditional perfect 1p-p,conditional perfect 2p-p,conditional perfect 3p-p,subjunctive present 1p-s,subjunctive present 2p-s,subjunctive present 3p-s,subjunctive present 1p-p,subjunctive present 2p-p,subjunctive present 3p-p,subjunctive imperfect 1p-s,subjunctive imperfect 2p-s,subjunctive imperfect 3p-s,subjunctive imperfect 1p-p,subjunctive imperfect 2p-p,subjunctive imperfect 3p-p,subjunctive future 1p-s,subjunctive future 2p-s,subjunctive future 3p-s,subjunctive future 1p-p,subjunctive future 2p-p,subjunctive future 3p-p,subjunctive present perfect 1p-s,subjunctive present perfect 2p-s,subjunctive present perfect 3p-s,subjunctive present perfect 1p-p,subjunctive present perfect 2p-p,subjunctive present perfect 3p-p,subjunctive future perfect 1p-s,subjunctive future perfect 2p-s,subjunctive future perfect 3p-s,subjunctive future perfect 1p-p,subjunctive future perfect 2p-p,subjunctive future perfect 3p-p,subjunctive past perfect 1p-s,subjunctive past perfect 2p-s,subjunctive past perfect 3p-s,subjunctive past perfect 1p-p,subjunctive past perfect 2p-p,subjunctive past perfect 3p-p,imperative affirmative present 1p-s,imperative affirmative present 2p-s,imperative affirmative present 3p-s,imperative affirmative present 1p-p,imperative affirmative present 2p-p,imperative affirmative present 3p-p,imperative negative present 1p-s,imperative negative present 2p-s,imperative negative present 3p-s,imperative negative present 1p-p,imperative negative present 2p-p,imperative negative present 3p-p
permanecer,to stay/remain (state),permanezco,permaneces,permanece,permanecemos,permanecéis,permanecen,hubiera pertenecido,hubieras pertenecido,hubiera pertenecido,hubiéramos pertenecido,hubierais pertenecido,hubieran pertenecido,N/A,pertenece,perteneced,N/A,pertenezca,pertenezcan,N/A,no pertenezcas,no pertenezcáis,N/A,no pertenezca,no pertenezcan,peso,pesas,pesa,pesamos,pesáis,pesan,pesaré,pesarás,pesará,pesaremos,pesaréis,pesarán,pesaba,pesabas,pesaba,pesábamos,pesabais,pesaban,pesé,pesaste,pesó,pesamos,pesasteis,pesaron,pesaría,pesarías,pesaría,pesaríamos,pesaríais,pesarían,he pesado,has pesado,ha pesado,hemos pesado,habéis pesado,han pesado,habré pesado,habrás pesado,habrá pesado,habremos pesado,habréis pesado,habrán pesado,reinaré,reinarás,reinará,reinaremos,reinaréis,reinarán,había pesado,habías pesado,había pesado,habíamos pesado,habíais pesado,habían pesado,hube pesado,hubiste pesado,hubo pesado,hubimos pesado,hubisteis pesado,hubieron pesado,habría pesado,habrías pesado,habría pesado,habríamos pesado,habríais pesado,habrían pesado,pese,peses,pese,pesemos,peséis,pesen,pesara,pesaras,pesara,pesáramos,pesarais,pesaran,pesare,pesares,pesare,pesáremos,pesareis,pesaren
permitir,to permit/allow,permito,permites,permite,permitimos,permitís,permiten,hubiere pesado,hubieres pesado,hubiere pesado,hubiéremos pesado,hubiereis pesado,hubieren pesado,hubiera pesado,hubieras pesado,hubiera pesado,hubiéramos pesado,hubierais pesado,hubieran pesado,N/A,pesa,pesad,N/A,pese,pesen,N/A,no peses,no peséis,N/A,no pese,no pesen,pesco,pescas,pesca,pescamos,pescáis,pescan,pescaré,pescarás,pescará,pescaremos,pescaréis,pescarán,pescaba,pescabas,pescaba,pescábamos,pescabais,pescaban,pesqué,pescaste,pescó,pescamos,pescasteis,pescaron,pescaría,pescarías,pescaría,pescaríamos,pescaríais,pescarían,he pescado,has pescado,ha pescado,hemos pescado,habéis pescado,han pescado,habré pescado,habrás pescado,habrá pescado,habremos pescado,habréis pescado,habrán pescado,había pescado,habías pescado,había pescado,habíamos pescado,habíais pescado,habían pescado,hube pescado,hubiste pescado,hubo pescado,hubimos pescado,hubisteis pescado,hubieron pescado,habría pescado,habrías pescado,habría pescado,habríamos pescado,habríais pescado,habrían pescado,pesque,pesques,pesque,pesquemos,pesquéis,pesquen,pescara,pescaras,pescara,pescáramos,pescarais,pescaran,pescare,pescares,pescare,pescáremos,pescareis,pescaren
perseguir,to pursue/chase/hunt down,persigo,persigues,persigue,perseguimos,perseguís,persiguen,hubiere pescado,hubieres pescado,hubiere pescado,hubiéremos pescado,hubiereis pescado,hubieren pescado,hubiera pescado,hubieras pescado,hubiera pescado,hubiéramos pescado,hubierais pescado,hubieran pescado,N/A,pesca,pescad,N/A,pesque,pesquen,N/A,no pesques,no pesquéis,N/A,no pesque,no pesquen,pico,picas,pica,picamos,picáis,pican,picaré,picarás,picará,picaremos,picaréis,picarán,picaba,picabas,picaba,picábamos,picabais,picaban,piqué,picaste,picó,picamos,picasteis,picaron,picaría,picarías,picaría,picaríamos,picaríais,picarían,he picado,has picado,ha picado,hemos picado,habéis picado,han picado,habré picado,habrás picado,habrá picado,habremos picado,habréis picado,habrán picado,había picado,habías picado,había picado,habíamos picado,habíais picado,habían picado,hube picado,hubiste picado,hubo picado,hubimos picado,hubisteis picado,hubieron picado,habría picado,habrías picado,habría picado,habríamos picado,habríais picado,habrían picado,pique,piques,pique,piquemos,piquéis,piquen,picara,picaras,picara,picáramos,picarais,picaran,picare,picares,picare,picáremos,picareis,picaren
pertenecer,to belong/pertain,pertenezco,perteneces,pertenece,pertenecemos,pertenecéis,pertenecen,hubiere picado,hubieres picado,hubiere picado,hubiéremos picado,hubiereis picado,hubieren picado,hubiera picado,hubieras picado,hubiera picado,hubiéramos picado,hubierais picado,hubieran picado,N/A,pica,picad,N/A,pique,piquen,N/A,no piques,no piquéis,N/A,no pique,no piquen,pinto,pintas,pinta,pintamos,pintáis,pintan,pintaré,pintarás,pintará,pintaremos,pintaréis,pintarán,pintaba,pintabas,pintaba,pintábamos,pintabais,pintaban,pinté,pintaste,pintó,pintamos,pintasteis,pintaron,pintaría,pintarías,pintaría,pintaríamos,pintaríais,pintarían,he pintado,has pintado,ha pintado,hemos pintado,habéis pintado,han pintado,habré pintado,habrás pintado,habrá pintado,habremos pintado,habréis pintado,habrán pintado,había pintado,habías pintado,había pintado,habíamos pintado,habíais pintado,habían pintado,hube pintado,hubiste pintado,hubo pintado,hubimos pintado,hubisteis pintado,hubieron pintado,habría pintado,habrías pintado,habría pintado,habríamos pintado,habríais pintado,habrían pintado,pinte,pintes,pinte,pintemos,pintéis,pinten,pintara,pintaras,pintara,pintáramos,pintarais,pintaran,pintare,pintares,pintare,pintáremos,pintareis,pintaren
pesar,to weigh OR to weigh down/weigh heavily;,peso,pesas,pesa,pesamos,pesáis,pesan,hubiere pintado,hubieres pintado,hubiere pintado,hubiéremos pintado,hubiereis pintado,hubieren pintado,hubiera pintado,hubieras pintado,hubiera pintado,hubiéramos pintado,hubierais pintado,hubieran pintado,N/A,pinta,pintad,N/A,pinte,pinten,N/A,no pintes,no pintéis,N/A,no pinte,no pinten,platico,platicas,platica,platicamos,platicáis,platican,platicaré,platicarás,platicará,platicaremos,platicaréis,platicarán,platicaba,platicabas,platicaba,platicábamos,platicabais,platicaban,platiqué,platicaste,platicó,platicamos,platicasteis,platicaron,platicaría,platicarías,platicaría,platicaríamos,platicaríais,platicarían,he platicado,has platicado,ha platicado,hemos platicado,habéis platicado,han platicado,habré platicado,habrás platicado,habrá platicado,habremos platicado,habréis platicado,habrán platicado,había platicado,habías platicado,había platicado,habíamos platicado,habíais platicado,habían platicado,hube platicado,hubiste platicado,hubo platicado,hubimos platicado,hubisteis platicado,hubieron platicado,habría platicado,habrías platicado,habría platicado,habríamos platicado,habríais platicado,habrían platicado,platique,platiques,platique,platiquemos,platiquéis,platiquen,platicara,platicaras,platicara,platicáramos,platicarais,platicaran,platicare,platicares,platicare,platicáremos,platicareis,platicaren
pescar,to fish,pesco,pescas,pesca,pescamos,pescáis,pescan,hubiere platicado,hubieres platicado,hubiere platicado,hubiéremos platicado,hubiereis platicado,hubieren platicado,hubiera platicado,hubieras platicado,hubiera platicado,hubiéramos platicado,hubierais platicado,hubieran platicado,N/A,platica,platicad,N/A,platique,platiquen,N/A,no platiques,no platiquéis,N/A,no platique,no platiquen,plancho,planchas,plancha,planchamos,plancháis,planchan,plancharé,plancharás,planchará,plancharemos,plancharéis,plancharán,planchaba,planchabas,planchaba,planchábamos,planchabais,planchaban,planché,planchaste,planchó,planchamos,planchasteis,plancharon,plancharía,plancharías,plancharía,plancharíamos,plancharíais,plancharían,he planchado,has planchado,ha planchado,hemos planchado,habéis planchado,han planchado,habré planchado,habrás planchado,habrá planchado,habremos planchado,habréis planchado,habrán planchado,había planchado,habías planchado,había planchado,habíamos planchado,habíais planchado,habían planchado,hube planchado,hubiste planchado,hubo planchado,hubimos planchado,hubisteis planchado,hubieron planchado,habría planchado,habrías planchado,habría planchado,habríamos planchado,habríais planchado,habrían planchado,planche,planches,planche,planchemos,planchéis,planchen,planchara,plancharas,planchara,plancháramos,plancharais,plancharan,planchare,planchares,planchare,plancháremos,planchareis,plancharen
picar,to prick/puncture/perforate OR to sting/bite,pico,picas,pica,picamos,picáis,pican,hubiere planchado,hubieres planchado,hubiere planchado,hubiéremos planchado,hubiereis planchado,hubieren planchado,hubiera planchado,hubieras planchado,hubiera planchado,hubiéramos planchado,hubierais planchado,hubieran planchado,N/A,plancha,planchad,N/A,planche,planchen,N/A,no planches,no planchéis,N/A,no planche,no planchen,planto,plantas,planta,plantamos,plantáis,plantan,plantaré,plantarás,plantará,plantaremos,plantaréis,plantarán,plantaba,plantabas,plantaba,plantábamos,plantabais,plantaban,plantaría,plantarías,plantaría,plantaríamos,plantaríais,plantarían,he plantado,has plantado,ha plantado,hemos plantado,habéis plantado,han plantado,habré plantado,habrás plantado,habrá plantado,habremos plantado,habréis plantado,habrán plantado,había plantado,habías plantado,había plantado,habíamos plantado,habíais plantado,habían plantado,hube plantado,hubiste plantado,hubo plantado,hubimos plantado,hubisteis plantado,hubieron plantado,habría plantado,habrías plantado,habría plantado,habríamos plantado,habríais plantado,habrían plantado,plante,plantes,plante,plantemos,plantéis,planten,plantara,plantaras,plantara,plantáramos,plantarais,plantaran,plantare,plantares,plantare,plantáremos,plantareis,plantaren,haya plantado,hayas plantado,haya plantado,hayamos plantado,hayáis plantado,hayan plantado
pintar,to paint,pinto,pintas,pinta,pintamos,pintáis,pintan,hubiera plantado,hubieras plantado,hubiera plantado,hubiéramos plantado,hubierais plantado,hubieran plantado,N/A,planta,plantad,N/A,plante,planten,N/A,no plantes,no plantéis,N/A,no plante,no planten,puedo,puedes,puede,podemos,podéis,pueden,podré,podrás,podrá,podremos,podréis,podrán,podía,podías,podía,podíamos,podíais,podían,pude,pudiste,pudo,pudimos,pudisteis,pudieron,podría,podrías,podría,podríamos,podríais,podrían,he podido,has podido,ha podido,hemos podido,habéis podido,han podido,habré podido,habrás podido,habrá podido,habremos podido,habréis podido,habrán podido,había podido,habías podido,había podido,habíamos podido,habíais podido,habían podido,hube podido,hubiste podido,hubo podido,hubimos podido,hubisteis podido,hubieron podido,habría podido,habrías podido,habría podido,habríamos podido,habríais podido,habrían podido,pueda,puedas,pueda,podamos,podáis,puedan,pudiera,pudieras,pudiera,pudiéramos,pudierais,pudieran,pudiere,pudieres,pudiere,pudiéremos,pudiereis,pudieren,haya podido,hayas podido,haya podido,hayamos podido,hayáis podido,hayan podido
platicar,to chat/talk,platico,platicas,platica,platicamos,platicáis,platican,hubiera podido,hubieras podido,hubiera podido,hubiéramos podido,hubierais podido,hubieran podido,N/A,puede,poded,N/A,pueda,puedan,N/A,no puedas,no podáis,N/A,no pueda,no puedan,pongo,pones,pone,ponemos,ponéis,ponen,pondré,pondrás,pondrá,pondremos,pondréis,pondrán,ponía,ponías,ponía,poníamos,poníais,ponían,puse,pusiste,puso,pusimos,pusisteis,pusieron,pondría,pondrías,pondría,pondríamos,pondríais,pondrían,he puesto,has puesto,ha puesto,hemos puesto,habéis puesto,han puesto,habré puesto,habrás puesto,habrá puesto,habremos puesto,habréis puesto,habrán puesto,había puesto,habías puesto,había puesto,habíamos puesto,habíais puesto,habían puesto,hube puesto,hubiste puesto,hubo puesto,hubimos puesto,hubisteis puesto,hubieron puesto,habría puesto,habrías puesto,habría puesto,habríamos puesto,habríais puesto,habrían puesto,ponga,pongas,ponga,pongamos,pongáis,pongan,pusiera,pusieras,pusiera,pusiéramos,pusierais,pusieran,pusiere,pusieres,pusiere,pusiéremos,pusiereis,pusieren,haya puesto,hayas puesto,haya puesto,hayamos puesto,hayáis puesto,hayan puesto
planchar,to iron/press OR to do the ironing,plancho,planchas,plancha,planchamos,plancháis,planchan,hubiera puesto,hubieras puesto,hubiera puesto,hubiéramos puesto,hubierais puesto,hubieran puesto,N/A,pon,poned,N/A,ponga,pongan,N/A,no pongas,no pongáis,N/A,no ponga,no pongan,me pongo,te pones,se pone,nos ponemos,os ponéis,se ponen,me pondré,te pondrás,se pondrá,nos pondremos,os pondréis,se pondrán,me ponía,te ponías,se ponía,nos poníamos,os poníais,se ponían,me puse,te pusiste,se puso,nos pusimos,os pusisteis,se pusieron,me pondría,te pondrías,se pondría,nos pondríamos,os pondríais,se pondrían,me he puesto,te has puesto,se ha puesto,nos hemos puesto,os habéis puesto,se han puesto,me habré puesto,te habrás puesto,se habrá puesto,nos habremos puesto,os habréis puesto,se habrán puesto,me había puesto,te habías puesto,se había puesto,nos habíamos puesto,os habíais puesto,se habían puesto,me hube puesto,te hubiste puesto,se hubo puesto,nos hubimos puesto,os hubisteis puesto,se hubieron puesto,me habría puesto,te habrías puesto,se habría puesto,nos habríamos puesto,os habríais puesto,se habrían puesto,me ponga,te pongas,se ponga,nos pongamos,os pongáis,se pongan,me pusiera,te pusieras,se pusiera,nos pusiéramos,os pusierais,se pusieran,me pusiere,te pusieres,se pusiere,nos pusiéremos,os pusiereis,se pusieren,me haya puesto,te hayas puesto,se haya puesto,nos hayamos puesto,os hayáis puesto,se hayan puesto
poder,to be able/can,puedo,puedes,puede,podemos,podéis,pueden,me hubiera puesto,te hubieras puesto,se hubiera puesto,nos hubiéramos puesto,os hubierais puesto,se hubieran puesto,N/A,ponte,poneos,N/A,póngase,pónganse,N/A,no te pongas,no os pongáis,N/A,no se ponga,no se pongan,practico,practicas,practica,practicamos,practicáis,practican,practicaré,practicarás,practicará,practicaremos,practicaréis,practicarán,practicaba,practicabas,practicaba,practicábamos,practicabais,practicaban,practiqué,practicaste,practicó,practicamos,practicasteis,practicaron,practicaría,practicarías,practicaría,practicaríamos,practicaríais,practicarían,he practicado,has practicado,ha practicado,hemos practicado,habéis practicado,han practicado,habré practicado,habrás practicado,habrá practicado,habremos practicado,habréis practicado,habrán practicado,había practicado,habías practicado,había practicado,habíamos practicado,habíais practicado,habían practicado,hube practicado,hubiste practicado,hubo practicado,hubimos practicado,hubisteis practicado,hubieron practicado,habría practicado,habrías practicado,habría practicado,habríamos practicado,habríais practicado,habrían practicado,practique,practiques,practique,practiquemos,practiquéis,practiquen,practicara,practicaras,practicara,practicáramos,practicarais,practicaran,practicare,practicares,practicare,practicáremos,practicareis,practicaren,haya practicado,hayas practicado,haya practicado,hayamos practicado,hayáis practicado,hayan practicado
poner,to put/place/set,pongo,pones,pone,ponemos,ponéis,ponen,hubiera practicado,hubieras practicado,hubiera practicado,hubiéramos practicado,hubierais practicado,hubieran practicado,N/A,practica,practicad,N/A,practique,practiquen,N/A,no practiques,no practiquéis,N/A,no practique,no practiquen,predigo,predices,predice,predecimos,predecís,predicen,predeciré,predecirás,predecirá,predeciremos,predeciréis,predecirán,predecía,predecías,predecía,predecíamos,predecíais,predecían,predije,predijiste,predijo,predijimos,predijisteis,predijeron,predeciría,predecirías,predeciría,predeciríamos,predeciríais,predecirían,he predicho,has predicho,ha predicho,hemos predicho,habéis predicho,han predicho,habré predicho,habrás predicho,habrá predicho,habremos predicho,habréis predicho,habrán predicho,había predicho,habías predicho,había predicho,habíamos predicho,habíais predicho,habían predicho,hube predicho,hubiste predicho,hubo predicho,hubimos predicho,hubisteis predicho,hubieron predicho,habría predicho,habrías predicho,habría predicho,habríamos predicho,habríais predicho,habrían predicho,prediga,predigas,prediga,predigamos,predigáis,predigan,predijera,predijeras,predijera,predijéramos,predijerais,predijeran,predijere,predijeres,predijere,predijéremos,predijereis,predijeren,haya predicho,hayas predicho,haya predicho,hayamos predicho,hayáis predicho,hayan predicho
ponerse,to put on/place,me pongo,te pones,se pone,nos ponemos,os ponéis,se ponen,hubiera predicho,hubieras predicho,hubiera predicho,hubiéramos predicho,hubierais predicho,hubieran predicho,N/A,predice,predecid,N/A,prediga,predigan,N/A,no predigas,no predigáis,N/A,no prediga,no predigan,prefiero,prefieres,prefiere,preferimos,preferís,prefieren,preferiré,preferirás,preferirá,preferiremos,preferiréis,preferirán,prefería,preferías,prefería,preferíamos,preferíais,preferían,preferí,preferiste,prefirió,preferimos,preferisteis,prefirieron,preferiría,preferirías,preferiría,preferiríamos,preferiríais,preferirían,he preferido,has preferido,ha preferido,hemos preferido,habéis preferido,han preferido,habré preferido,habrás preferido,habrá preferido,habremos preferido,habréis preferido,habrán preferido,había preferido,habías preferido,había preferido,habíamos preferido,habíais preferido,habían preferido,hube preferido,hubiste preferido,hubo preferido,hubimos preferido,hubisteis preferido,hubieron preferido,habría preferido,habrías preferido,habría preferido,habríamos preferido,habríais preferido,habrían preferido,prefiera,prefieras,prefiera,prefiramos,prefiráis,prefieran,prefiriera,prefirieras,prefiriera,prefiriéramos,prefirierais,prefirieran,prefiriere,prefirieres,prefiriere,prefiriéremos,prefiriereis,prefirieren,haya preferido,hayas preferido,haya preferido,hayamos preferido,hayáis preferido,hayan preferido
