infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,imperative 1p-s,past imperative 2p-s,imperative 3p-s,past imperative 1p-p,past imperative 2p-p,imperative 3p-p,gerund
rêver,to dream,FALSE,rêve,rêves,rêve,rêvons,rêvez,rêvent,rêvais,rêvais,rêvait,rêvions,rêviez,rêvaient,rêvai,rêvas,rêva,rêvâmes,rêvâtes,rêvèrent,rêverai,rêveras,rêvera,rêverons,rêverez,rêveront,rêverais,rêverais,rêverait,rêverions,rêveriez,rêveraient,rêve,rêves,rêve,rêvions,rêviez,rêvent,rêvasse,rêvasses,rêvât,rêvassions,rêvassiez,rêvassent,N/A,rêve,N/A,rêvons,rêvez,N/A,ai rêvé,as rêvé,a rêvé,avons rêvé,avez rêvé,ont rêvé,avais rêvé,avais rêvé,avait rêvé,avions rêvé,aviez rêvé,avaient rêvé,aurai rêvé,auras rêvé,aura rêvé,aurons rêvé,aurez rêvé,auront rêvé,aurais rêvé,aurais rêvé,aurait rêvé,aurions rêvé,auriez rêvé,auraient rêvé,aie rêvé,aies rêvé,ait rêvé,ayons rêvé,ayez rêvé,aient rêvé,eusse rêvé,eusses rêvé,eût rêvé,eussions rêvé,eussiez rêvé,eussent rêvé,eus rêvé,eus rêvé,eut rêvé,eûmes rêvé,eûtes rêvé,eurent rêvé,N/A,aie rêvé,N/A,ayons rêvé,ayez rêvé,N/A,rêvant
reproduire,to reproduce,FALSE,reproduis,reproduis,reproduit,reproduisons,reproduisez,reproduisent,reproduisais,reproduisais,reproduisait,reproduisions,reproduisiez,reproduisaient,reproduisis,reproduisis,reproduisit,reproduisîmes,reproduisîtes,reproduisirent,reproduirai,reproduiras,reproduira,reproduirons,reproduirez,reproduiront,reproduirais,reproduirais,reproduirait,reproduirions,reproduiriez,reproduiraient,reproduise,reproduises,reproduise,reproduisions,reproduisiez,reproduisent,reproduisisse,reproduisisses,reproduisît,reproduisissions,reproduisissiez,reproduisissent,N/A,reproduis,N/A,reproduisons,reproduisez,N/A,ai reproduit,as reproduit,a reproduit,avons reproduit,avez reproduit,ont reproduit,avais reproduit,avais reproduit,avait reproduit,avions reproduit,aviez reproduit,avaient reproduit,aurai reproduit,auras reproduit,aura reproduit,aurons reproduit,aurez reproduit,auront reproduit,aurais reproduit,aurais reproduit,aurait reproduit,aurions reproduit,auriez reproduit,auraient reproduit,aie reproduit,aies reproduit,ait reproduit,ayons reproduit,ayez reproduit,aient reproduit,eusse reproduit,eusses reproduit,eût reproduit,eussions reproduit,eussiez reproduit,eussent reproduit,eus reproduit,eus reproduit,eut reproduit,eûmes reproduit,eûtes reproduit,eurent reproduit,N/A,aie reproduit,N/A,ayons reproduit,ayez reproduit,N/A,reproduisant
répondre,to answer,FALSE,réponds,réponds,répond,répondons,répondez,répondent,répondais,répondais,répondait,répondions,répondiez,répondaient,répondis,répondis,répondit,répondîmes,répondîtes,répondirent,répondrai,répondras,répondra,répondrons,répondrez,répondront,répondrais,répondrais,répondrait,répondrions,répondriez,répondraient,réponde,répondes,réponde,répondions,répondiez,répondent,répondisse,répondisses,répondît,répondissions,répondissiez,répondissent,N/A,réponds,N/A,répondons,répondez,N/A,ai répondu,as répondu,a répondu,avons répondu,avez répondu,ont répondu,avais répondu,avais répondu,avait répondu,avions répondu,aviez répondu,avaient répondu,aurai répondu,auras répondu,aura répondu,aurons répondu,aurez répondu,auront répondu,aurais répondu,aurais répondu,aurait répondu,aurions répondu,auriez répondu,auraient répondu,aie répondu,aies répondu,ait répondu,ayons répondu,ayez répondu,aient répondu,eusse répondu,eusses répondu,eût répondu,eussions répondu,eussiez répondu,eussent répondu,eus répondu,eus répondu,eut répondu,eûmes répondu,eûtes répondu,eurent répondu,N/A,aie répondu,N/A,ayons répondu,ayez répondu,N/A,répondant
retenir,to retain,FALSE,retiens,retiens,retient,retenons,retenez,retiennent,retenais,retenais,retenait,retenions,reteniez,retenaient,retins,retins,retint,retînmes,retîntes,retinrent,retiendrai,retiendras,retiendra,retiendrons,retiendrez,retiendront,retiendrais,retiendrais,retiendrait,retiendrions,retiendriez,retiendraient,retienne,retiennes,retienne,retenions,reteniez,retiennent,retinsse,retinsses,retînt,retinssions,retinssiez,retinssent,N/A,retiens,N/A,retenons,retenez,N/A,ai retenu,as retenu,a retenu,avons retenu,avez retenu,ont retenu,avais retenu,avais retenu,avait retenu,avions retenu,aviez retenu,avaient retenu,aurai retenu,auras retenu,aura retenu,aurons retenu,aurez retenu,auront retenu,aurais retenu,aurais retenu,aurait retenu,aurions retenu,auriez retenu,auraient retenu,aie retenu,aies retenu,ait retenu,ayons retenu,ayez retenu,aient retenu,eusse retenu,eusses retenu,eût retenu,eussions retenu,eussiez retenu,eussent retenu,eus retenu,eus retenu,eut retenu,eûmes retenu,eûtes retenu,eurent retenu,N/A,aie retenu,N/A,ayons retenu,ayez retenu,N/A,retenant
réprimander,to reprimand,FALSE,réprimande,réprimandes,réprimande,réprimandons,réprimandez,réprimandent,réprimandais,réprimandais,réprimandait,réprimandions,réprimandiez,réprimandaient,réprimandai,réprimandas,réprimanda,réprimandâmes,réprimandâtes,réprimandèrent,réprimanderai,réprimanderas,réprimandera,réprimanderons,réprimanderez,réprimanderont,réprimanderais,réprimanderais,réprimanderait,réprimanderions,réprimanderiez,réprimanderaient,réprimande,réprimandes,réprimande,réprimandions,réprimandiez,réprimandent,réprimandasse,réprimandasses,réprimandât,réprimandassions,réprimandassiez,réprimandassent,N/A,réprimande,N/A,réprimandons,réprimandez,N/A,ai réprimandé,as réprimandé,a réprimandé,avons réprimandé,avez réprimandé,ont réprimandé,avais réprimandé,avais réprimandé,avait réprimandé,avions réprimandé,aviez réprimandé,avaient réprimandé,aurai réprimandé,auras réprimandé,aura réprimandé,aurons réprimandé,aurez réprimandé,auront réprimandé,aurais réprimandé,aurais réprimandé,aurait réprimandé,aurions réprimandé,auriez réprimandé,auraient réprimandé,aie réprimandé,aies réprimandé,ait réprimandé,ayons réprimandé,ayez réprimandé,aient réprimandé,eusse réprimandé,eusses réprimandé,eût réprimandé,eussions réprimandé,eussiez réprimandé,eussent réprimandé,eus réprimandé,eus réprimandé,eut réprimandé,eûmes réprimandé,eûtes réprimandé,eurent réprimandé,N/A,aie réprimandé,N/A,ayons réprimandé,ayez réprimandé,N/A,réprimandant
revoir,to see again,FALSE,revois,revois,revoit,revoyons,revoyez,revoient,revoyais,revoyais,revoyait,revoyions,revoyiez,revoyaient,revis,revis,revit,revîmes,revîtes,revirent,reverrai,reverras,reverra,reverrons,reverrez,reverront,reverrais,reverrais,reverrait,reverrions,reverriez,reverraient,revoie,revoies,revoie,revoyions,revoyiez,revoient,revisse,revisses,revît,revissions,revissiez,revissent,N/A,revois,N/A,revoyons,revoyez,N/A,ai revu,as revu,a revu,avons revu,avez revu,ont revu,avais revu,avais revu,avait revu,avions revu,aviez revu,avaient revu,aurai revu,auras revu,aura revu,aurons revu,aurez revu,auront revu,aurais revu,aurais revu,aurait revu,aurions revu,auriez revu,auraient revu,aie revu,aies revu,ait revu,ayons revu,ayez revu,aient revu,eusse revu,eusses revu,eût revu,eussions revu,eussiez revu,eussent revu,eus revu,eus revu,eut revu,eûmes revu,eûtes revu,eurent revu,N/A,aie revu,N/A,ayons revu,ayez revu,N/A,revoyant
rompre,to break,FALSE,romps,romps,rompt,rompons,rompez,rompent,rompais,rompais,rompait,rompions,rompiez,rompaient,rompis,rompis,rompit,rompîmes,rompîtes,rompirent,romprai,rompras,rompra,romprons,romprez,rompront,romprais,romprais,romprait,romprions,rompriez,rompraient,rompe,rompes,rompe,rompions,rompiez,rompent,rompisse,rompisses,rompît,rompissions,rompissiez,rompissent,N/A,romps,N/A,rompons,rompez,N/A,ai rompu,as rompu,a rompu,avons rompu,avez rompu,ont rompu,avais rompu,avais rompu,avait rompu,avions rompu,aviez rompu,avaient rompu,aurai rompu,auras rompu,aura rompu,aurons rompu,aurez rompu,auront rompu,aurais rompu,aurais rompu,aurait rompu,aurions rompu,auriez rompu,auraient rompu,aie rompu,aies rompu,ait rompu,ayons rompu,ayez rompu,aient rompu,eusse rompu,eusses rompu,eût rompu,eussions rompu,eussiez rompu,eussent rompu,eus rompu,eus rompu,eut rompu,eûmes rompu,eûtes rompu,eurent rompu,N/A,aie rompu,N/A,ayons rompu,ayez rompu,N/A,rompant
rougir,to redden/blush,FALSE,rougis,rougis,rougit,rougissons,rougissez,rougissent,rougissais,rougissais,rougissait,rougissions,rougissiez,rougissaient,rougis,rougis,rougit,rougîmes,rougîtes,rougirent,rougirai,rougiras,rougira,rougirons,rougirez,rougiront,rougirais,rougirais,rougirait,rougirions,rougiriez,rougiraient,rougisse,rougisses,rougisse,rougissions,rougissiez,rougissent,rougisse,rougisses,rougît,rougissions,rougissiez,rougissent,N/A,rougis,N/A,rougissons,rougissez,N/A,ai rougi,as rougi,a rougi,avons rougi,avez rougi,ont rougi,avais rougi,avais rougi,avait rougi,avions rougi,aviez rougi,avaient rougi,aurai rougi,auras rougi,aura rougi,aurons rougi,aurez rougi,auront rougi,aurais rougi,aurais rougi,aurait rougi,aurions rougi,auriez rougi,auraient rougi,aie rougi,aies rougi,ait rougi,ayons rougi,ayez rougi,aient rougi,eusse rougi,eusses rougi,eût rougi,eussions rougi,eussiez rougi,eussent rougi,eus rougi,eus rougi,eut rougi,eûmes rougi,eûtes rougi,eurent rougi,N/A,aie rougi,N/A,ayons rougi,ayez rougi,N/A,rougissant
révéler,to reveal,FALSE,révèle,révèles,révèle,révélons,révélez,révèlent,révélais,révélais,révélait,révélions,révéliez,révélaient,révélai,révélas,révéla,révélâmes,révélâtes,révélèrent,révèlerai;révélerai,révèleras;révéleras,révèlera;révélera,révèlerons;révélerons,révèlerez;révélerez,révèleront;révéleront,révèlerais;révélerais,révèlerais;révélerais,révèlerait;révélerait,révèlerions;révélerions,révèleriez;révéleriez,révèleraient;révéleraient,révèle,révèles,révèle,révélions,révéliez,révèlent,révélasse,révélasses,révélât,révélassions,révélassiez,révélassent,N/A,révèle,N/A,révélons,révélez,N/A,ai révélé,as révélé,a révélé,avons révélé,avez révélé,ont révélé,avais révélé,avais révélé,avait révélé,avions révélé,aviez révélé,avaient révélé,aurai révélé,auras révélé,aura révélé,aurons révélé,aurez révélé,auront révélé,aurais révélé,aurais révélé,aurait révélé,aurions révélé,auriez révélé,auraient révélé,aie révélé,aies révélé,ait révélé,ayons révélé,ayez révélé,aient révélé,eusse révélé,eusses révélé,eût révélé,eussions révélé,eussiez révélé,eussent révélé,eus révélé,eus révélé,eut révélé,eûmes révélé,eûtes révélé,eurent révélé,N/A,aie révélé,N/A,ayons révélé,ayez révélé,N/A,révélant
rester,to remain,FALSE,reste,restes,reste,restons,restez,restent,restais,restais,restait,restions,restiez,restaient,restai,restas,resta,restâmes,restâtes,restèrent,resterai,resteras,restera,resterons,resterez,resteront,resterais,resterais,resterait,resterions,resteriez,resteraient,reste,restes,reste,restions,restiez,restent,restasse,restasses,restât,restassions,restassiez,restassent,N/A,reste,N/A,restons,restez,N/A,suis resté,es resté,est resté,sommes resté,êtes resté,sont resté,étais resté,étais resté,était resté,étions resté,étiez resté,étaient resté,serai resté,seras resté,sera resté,serons resté,serez resté,seront resté,serais resté,serais resté,serait resté,serions resté,seriez resté,seraient resté,sois resté,sois resté,soit resté,soyons resté,soyez resté,soient resté,fusse resté,fusses resté,fût resté,fussions resté,fussiez resté,fussent resté,fus resté,fus resté,fut resté,fûmes resté,fûtes resté,fûrent resté,N/A,sois resté,N/A,soyons resté,soyez resté,N/A,restant
revêtir,to put on,FALSE,revêts,revêts,revêt,revêtions,revêtez,revêtent,revêtais,revêtais,revêtait,revêtions,revêtiez,revêtaient,revêtis,revêtis,revêtit,revêtîmes,revêtîtes,revêtirent,revêtirai,revêtiras,revêtira,revêtirons,revêtirez,revêtiront,revêtirais,revêtirais,revêtirait,revêtirions,revêtiriez,revêtiraient,revête,revêtes,revête,revêtions,revêtiez,revêtent,revêtisse,revêtisses,revêtît,revêtissions,revêtissiez,revêtissent,N/A,revêts,N/A,revêtons,revêtez,N/A,ai revêtu,as revêtu,a revêtu,avons revêtu,avez revêtu,ont revêtu,avais revêtu,avais revêtu,avait revêtu,avions revêtu,aviez revêtu,avaient revêtu,aurai revêtu,auras revêtu,aura revêtu,aurons revêtu,aurez revêtu,auront revêtu,aurais revêtu,aurais revêtu,aurait revêtu,aurions revêtu,auriez revêtu,auraient revêtu,aie revêtu,aies revêtu,ait revêtu,ayons revêtu,ayez revêtu,aient revêtu,eusse revêtu,eusses revêtu,eût revêtu,eussions revêtu,eussiez revêtu,eussent revêtu,eus revêtu,eus revêtu,eut revêtu,eûmes revêtu,eûtes revêtu,eurent revêtu,N/A,aie revêtu,N/A,ayons revêtu,ayez revêtu,N/A,revêtant
séduire,to seduce,FALSE,séduis,séduis,séduit,séduisons,séduisez,séduisent,séduisais,séduisais,séduisait,séduisions,séduisiez,séduisaient,séduisis,séduisis,séduisit,séduisîmes,séduisîtes,séduisirent,séduirai,séduiras,séduira,séduirons,séduirez,séduiront,séduirais,séduirais,séduirait,séduirions,séduiriez,séduiraient,séduise,séduises,séduise,séduisions,séduisiez,séduisent,séduisisse,séduisisses,séduisît,séduisissions,séduisissiez,séduisissent,N/A,séduis,N/A,séduisons,séduisez,N/A,ai séduit,as séduit,a séduit,avons séduit,avez séduit,ont séduit,avais séduit,avais séduit,avait séduit,avions séduit,aviez séduit,avaient séduit,aurai séduit,auras séduit,aura séduit,aurons séduit,aurez séduit,auront séduit,aurais séduit,aurais séduit,aurait séduit,aurions séduit,auriez séduit,auraient séduit,aie séduit,aies séduit,ait séduit,ayons séduit,ayez séduit,aient séduit,eusse séduit,eusses séduit,eût séduit,eussions séduit,eussiez séduit,eussent séduit,eus séduit,eus séduit,eut séduit,eûmes séduit,eûtes séduit,eurent séduit,N/A,aie séduit,N/A,ayons séduit,ayez séduit,N/A,séduisant
secouer,to shake,FALSE,secoue,secoues,secoue,secouons,secouez,secouent,secouais,secouais,secouait,secouions,secouiez,secouaient,secouai,secouas,secoua,secouâmes,secouâtes,secouèrent,secouerai,secoueras,secouera,secouerons,secouerez,secoueront,secouerais,secouerais,secouerait,secouerions,secoueriez,secoueraient,secoue,secoues,secoue,secouions,secouiez,secouent,secouasse,secouasses,secouât,secouassions,secouassiez,secouassent,N/A,secoue,N/A,secouons,secouez,N/A,ai secoué,as secoué,a secoué,avons secoué,avez secoué,ont secoué,avais secoué,avais secoué,avait secoué,avions secoué,aviez secoué,avaient secoué,aurai secoué,auras secoué,aura secoué,aurons secoué,aurez secoué,auront secoué,aurais secoué,aurais secoué,aurait secoué,aurions secoué,auriez secoué,auraient secoué,aie secoué,aies secoué,ait secoué,ayons secoué,ayez secoué,aient secoué,eusse secoué,eusses secoué,eût secoué,eussions secoué,eussiez secoué,eussent secoué,eus secoué,eus secoué,eut secoué,eûmes secoué,eûtes secoué,eurent secoué,N/A,aie secoué,N/A,ayons secoué,ayez secoué,N/A,secouant
siffler,to whistle,FALSE,siffle,siffles,siffle,sifflons,sifflez,sifflent,sifflais,sifflais,sifflait,sifflions,siffliez,sifflaient,sifflai,sifflas,siffla,sifflâmes,sifflâtes,sifflèrent,sifflerai,siffleras,sifflera,sifflerons,sifflerez,siffleront,sifflerais,sifflerais,sifflerait,sifflerions,siffleriez,siffleraient,siffle,siffles,siffle,sifflions,siffliez,sifflent,sifflasse,sifflasses,sifflât,sifflassions,sifflassiez,sifflassent,N/A,siffle,N/A,sifflons,sifflez,N/A,ai sifflé,as sifflé,a sifflé,avons sifflé,avez sifflé,ont sifflé,avais sifflé,avais sifflé,avait sifflé,avions sifflé,aviez sifflé,avaient sifflé,aurai sifflé,auras sifflé,aura sifflé,aurons sifflé,aurez sifflé,auront sifflé,aurais sifflé,aurais sifflé,aurait sifflé,aurions sifflé,auriez sifflé,auraient sifflé,aie sifflé,aies sifflé,ait sifflé,ayons sifflé,ayez sifflé,aient sifflé,eusse sifflé,eusses sifflé,eût sifflé,eussions sifflé,eussiez sifflé,eussent sifflé,eus sifflé,eus sifflé,eut sifflé,eûmes sifflé,eûtes sifflé,eurent sifflé,N/A,aie sifflé,N/A,ayons sifflé,ayez sifflé,N/A,sifflant
séjourner,to sojourn,FALSE,séjourne,séjournes,séjourne,séjournons,séjournez,séjournent,séjournais,séjournais,séjournait,séjournions,séjourniez,séjournaient,séjournai,séjournas,séjourna,séjournâmes,séjournâtes,séjournèrent,séjournerai,séjourneras,séjournera,séjournerons,séjournerez,séjourneront,séjournerais,séjournerais,séjournerait,séjournerions,séjourneriez,séjourneraient,séjourne,séjournes,séjourne,séjournions,séjourniez,séjournent,séjournasse,séjournasses,séjournât,séjournassions,séjournassiez,séjournassent,N/A,séjourne,N/A,séjournons,séjournez,N/A,ai séjourné,as séjourné,a séjourné,avons séjourné,avez séjourné,ont séjourné,avais séjourné,avais séjourné,avait séjourné,avions séjourné,aviez séjourné,avaient séjourné,aurai séjourné,auras séjourné,aura séjourné,aurons séjourné,aurez séjourné,auront séjourné,aurais séjourné,aurais séjourné,aurait séjourné,aurions séjourné,auriez séjourné,auraient séjourné,aie séjourné,aies séjourné,ait séjourné,ayons séjourné,ayez séjourné,aient séjourné,eusse séjourné,eusses séjourné,eût séjourné,eussions séjourné,eussiez séjourné,eussent séjourné,eus séjourné,eus séjourné,eut séjourné,eûmes séjourné,eûtes séjourné,eurent séjourné,N/A,aie séjourné,N/A,ayons séjourné,ayez séjourné,N/A,séjournant
sembler,to seem,FALSE,semble,sembles,semble,semblons,semblez,semblent,semblais,semblais,semblait,semblions,sembliez,semblaient,semblai,semblas,sembla,semblâmes,semblâtes,semblèrent,semblerai,sembleras,semblera,semblerons,semblerez,sembleront,semblerais,semblerais,semblerait,semblerions,sembleriez,sembleraient,semble,sembles,semble,semblions,sembliez,semblent,semblasse,semblasses,semblât,semblassions,semblassiez,semblassent,N/A,semble,N/A,semblons,semblez,N/A,ai semblé,as semblé,a semblé,avons semblé,avez semblé,ont semblé,avais semblé,avais semblé,avait semblé,avions semblé,aviez semblé,avaient semblé,aurai semblé,auras semblé,aura semblé,aurons semblé,aurez semblé,auront semblé,aurais semblé,aurais semblé,aurait semblé,aurions semblé,auriez semblé,auraient semblé,aie semblé,aies semblé,ait semblé,ayons semblé,ayez semblé,aient semblé,eusse semblé,eusses semblé,eût semblé,eussions semblé,eussiez semblé,eussent semblé,eus semblé,eus semblé,eut semblé,eûmes semblé,eûtes semblé,eurent semblé,N/A,aie semblé,N/A,ayons semblé,ayez semblé,N/A,semblant
serrer,to grasp/squeeze,FALSE,serre,serres,serre,serrons,serrez,serrent,serrais,serrais,serrait,serrions,serriez,serraient,serrai,serras,serra,serrâmes,serrâtes,serrèrent,serrerai,serreras,serrera,serrerons,serrerez,serreront,serrerais,serrerais,serrerait,serrerions,serreriez,serreraient,serre,serres,serre,serrions,serriez,serrent,serrasse,serrasses,serrât,serrassions,serrassiez,serrassent,N/A,serre,N/A,serrons,serrez,N/A,ai serré,as serré,a serré,avons serré,avez serré,ont serré,avais serré,avais serré,avait serré,avions serré,aviez serré,avaient serré,aurai serré,auras serré,aura serré,aurons serré,aurez serré,auront serré,aurais serré,aurais serré,aurait serré,aurions serré,auriez serré,auraient serré,aie serré,aies serré,ait serré,ayons serré,ayez serré,aient serré,eusse serré,eusses serré,eût serré,eussions serré,eussiez serré,eussent serré,eus serré,eus serré,eut serré,eûmes serré,eûtes serré,eurent serré,N/A,aie serré,N/A,ayons serré,ayez serré,N/A,serrant
salir,to soil,FALSE,salis,salis,salit,salissons,salissez,salissent,salissais,salissais,salissait,salissions,salissiez,salissaient,salis,salis,salit,salîmes,salîtes,salirent,salirai,saliras,salira,salirons,salirez,saliront,salirais,salirais,salirait,salirions,saliriez,saliraient,salisse,salisses,salisse,salissions,salissiez,salissent,salisse,salisses,salît,salissions,salissiez,salissent,N/A,salis,N/A,salissons,salissez,N/A,ai sali,as sali,a sali,avons sali,avez sali,ont sali,avais sali,avais sali,avait sali,avions sali,aviez sali,avaient sali,aurai sali,auras sali,aura sali,aurons sali,aurez sali,auront sali,aurais sali,aurais sali,aurait sali,aurions sali,auriez sali,auraient sali,aie sali,aies sali,ait sali,ayons sali,ayez sali,aient sali,eusse sali,eusses sali,eût sali,eussions sali,eussiez sali,eussent sali,eus sali,eus sali,eut sali,eûmes sali,eûtes sali,eurent sali,N/A,aie sali,N/A,ayons sali,ayez sali,N/A,salissant
savoir,to know,TRUE,sais,sais,sait,savons,savez,savent,savais,savais,savait,savions,saviez,savaient,sus,sus,sut,sûmes,sûtes,surent,saurai,sauras,saura,saurons,saurez,sauront,saurais,saurais,saurait,saurions,sauriez,sauraient,sache,saches,sache,sachions,sachiez,sachent,susse,susses,sût,sussions,sussiez,sussent,N/A,sache,N/A,sachons,sachez,N/A,ai su,as su,a su,avons su,avez su,ont su,avais su,avais su,avait su,avions su,aviez su,avaient su,aurai su,auras su,aura su,aurons su,aurez su,auront su,aurais su,aurais su,aurait su,aurions su,auriez su,auraient su,aie su,aies su,ait su,ayons su,ayez su,aient su,eusse su,eusses su,eût su,eussions su,eussiez su,eussent su,eus su,eus su,eut su,eûmes su,eûtes su,eurent su,N/A,aie su,N/A,ayons su,ayez su,N/A,sachant
signaler,to signal,FALSE,signale,signales,signale,signalons,signalez,signalent,signalais,signalais,signalait,signalions,signaliez,signalaient,signalai,signalas,signala,signalâmes,signalâtes,signalèrent,signalerai,signaleras,signalera,signalerons,signalerez,signaleront,signalerais,signalerais,signalerait,signalerions,signaleriez,signaleraient,signale,signales,signale,signalions,signaliez,signalent,signalasse,signalasses,signalât,signalassions,signalassiez,signalassent,N/A,signale,N/A,signalons,signalez,N/A,ai signalé,as signalé,a signalé,avons signalé,avez signalé,ont signalé,avais signalé,avais signalé,avait signalé,avions signalé,aviez signalé,avaient signalé,aurai signalé,auras signalé,aura signalé,aurons signalé,aurez signalé,auront signalé,aurais signalé,aurais signalé,aurait signalé,aurions signalé,auriez signalé,auraient signalé,aie signalé,aies signalé,ait signalé,ayons signalé,ayez signalé,aient signalé,eusse signalé,eusses signalé,eût signalé,eussions signalé,eussiez signalé,eussent signalé,eus signalé,eus signalé,eut signalé,eûmes signalé,eûtes signalé,eurent signalé,N/A,aie signalé,N/A,ayons signalé,ayez signalé,N/A,signalant
sauver,to save/rescue,FALSE,sauve,sauves,sauve,sauvons,sauvez,sauvent,sauvais,sauvais,sauvait,sauvions,sauviez,sauvaient,sauvai,sauvas,sauva,sauvâmes,sauvâtes,sauvèrent,sauverai,sauveras,sauvera,sauverons,sauverez,sauveront,sauverais,sauverais,sauverait,sauverions,sauveriez,sauveraient,sauve,sauves,sauve,sauvions,sauviez,sauvent,sauvasse,sauvasses,sauvât,sauvassions,sauvassiez,sauvassent,N/A,sauve,N/A,sauvons,sauvez,N/A,ai sauvé,as sauvé,a sauvé,avons sauvé,avez sauvé,ont sauvé,avais sauvé,avais sauvé,avait sauvé,avions sauvé,aviez sauvé,avaient sauvé,aurai sauvé,auras sauvé,aura sauvé,aurons sauvé,aurez sauvé,auront sauvé,aurais sauvé,aurais sauvé,aurait sauvé,aurions sauvé,auriez sauvé,auraient sauvé,aie sauvé,aies sauvé,ait sauvé,ayons sauvé,ayez sauvé,aient sauvé,eusse sauvé,eusses sauvé,eût sauvé,eussions sauvé,eussiez sauvé,eussent sauvé,eus sauvé,eus sauvé,eut sauvé,eûmes sauvé,eûtes sauvé,eurent sauvé,N/A,aie sauvé,N/A,ayons sauvé,ayez sauvé,N/A,sauvant
saillir,to protrude,TRUE,saillis,saillis,saillissait,saillissons,saillissez,saillissent,saillissais,saillissais,saillissait,saillissions,saillissiez,saillissaient,saillis,saillis,saillit,saillîmes,saillîtes,saillirent,saillirai,sailliras,saillira,saillirons,saillirez,sailliront,saillirais,saillirais,saillirait,saillirions,sailliriez,sailliraient,saillisse,saillisses,saillisse,saillissions,saillissiez,saillissent,saillisse,saillisses,saillisse,saillissions,saillissiez,saillissent,N/A,saillis,N/A,saillissons,saillissez,N/A,ai sailli,as sailli,a sailli,avons sailli,avez sailli,ont sailli,avais sailli,avais sailli,avait sailli,avions sailli,aviez sailli,avaient sailli,aurai sailli,auras sailli,aura sailli,aurons sailli,aurez sailli,auront sailli,aurais sailli,aurais sailli,aurait sailli,aurions sailli,auriez sailli,auraient sailli,aie sailli,aies sailli,ait sailli,ayons sailli,ayez sailli,aient sailli,eusse sailli,eusses sailli,eût sailli,eussions sailli,eussiez sailli,eussent sailli,eus sailli,eus sailli,eut sailli,eûmes sailli,eûtes sailli,eurent sailli,N/A,aie sailli,N/A,ayons sailli,ayez sailli,N/A,saillant
séparer,to separate,FALSE,sépare,sépares,sépare,séparons,séparez,séparent,séparais,séparais,séparait,séparions,sépariez,séparaient,séparai,séparas,sépara,séparâmes,séparâtes,séparèrent,séparerai,sépareras,séparera,séparerons,séparerez,sépareront,séparerais,séparerais,séparerait,séparerions,sépareriez,sépareraient,sépare,sépares,sépare,séparions,sépariez,séparent,séparasse,séparasses,séparât,séparassions,séparassiez,séparassent,N/A,sépare,N/A,séparons,séparez,N/A,ai séparé,as séparé,a séparé,avons séparé,avez séparé,ont séparé,avais séparé,avais séparé,avait séparé,avions séparé,aviez séparé,avaient séparé,aurai séparé,auras séparé,aura séparé,aurons séparé,aurez séparé,auront séparé,aurais séparé,aurais séparé,aurait séparé,aurions séparé,auriez séparé,auraient séparé,aie séparé,aies séparé,ait séparé,ayons séparé,ayez séparé,aient séparé,eusse séparé,eusses séparé,eût séparé,eussions séparé,eussiez séparé,eussent séparé,eus séparé,eus séparé,eut séparé,eûmes séparé,eûtes séparé,eurent séparé,N/A,aie séparé,N/A,ayons séparé,ayez séparé,N/A,séparant
